date_key,year,quarter,month,month_name,day_of_month,day_of_week,day_name,week_of_year,is_weekend
2015-05-21,2015,2,5,May,21,3,Thursday,21,False
2015-05-22,2015,2,5,May,22,4,Friday,21,False
2015-05-23,2015,2,5,May,23,5,Saturday,21,True
2015-05-24,2015,2,5,May,24,6,Sunday,21,True
2015-05-25,2015,2,5,May,25,0,Monday,22,False
2015-05-26,2015,2,5,May,26,1,Tuesday,22,False
2015-05-27,2015,2,5,May,27,2,Wednesday,22,False
2015-05-28,2015,2,5,May,28,3,Thursday,22,False
2015-05-29,2015,2,5,May,29,4,Friday,22,False
2015-05-30,2015,2,5,May,30,5,Saturday,22,True
2015-05-31,2015,2,5,May,31,6,Sunday,22,True
2015-06-01,2015,2,6,June,1,0,Monday,23,False
2015-06-02,2015,2,6,June,2,1,Tuesday,23,False
2015-06-03,2015,2,6,June,3,2,Wednesday,23,False
2015-06-04,2015,2,6,June,4,3,Thursday,23,False
2015-06-05,2015,2,6,June,5,4,Friday,23,False
2015-06-06,2015,2,6,June,6,5,Saturday,23,True
2015-06-07,2015,2,6,June,7,6,Sunday,23,True
2015-06-08,2015,2,6,June,8,0,Monday,24,False
2015-06-09,2015,2,6,June,9,1,Tuesday,24,False
2015-06-10,2015,2,6,June,10,2,Wednesday,24,False
2015-06-11,2015,2,6,June,11,3,Thursday,24,False
2015-06-12,2015,2,6,June,12,4,Friday,24,False
2015-06-13,2015,2,6,June,13,5,Saturday,24,True
2015-06-14,2015,2,6,June,14,6,Sunday,24,True
2015-06-15,2015,2,6,June,15,0,Monday,25,False
2015-06-16,2015,2,6,June,16,1,Tuesday,25,False
2015-06-17,2015,2,6,June,17,2,Wednesday,25,False
2015-06-18,2015,2,6,June,18,3,Thursday,25,False
2015-06-19,2015,2,6,June,19,4,Friday,25,False
2015-06-20,2015,2,6,June,20,5,Saturday,25,True
2015-06-21,2015,2,6,June,21,6,Sunday,25,True
2015-06-22,2015,2,6,June,22,0,Monday,26,False
2015-06-23,2015,2,6,June,23,1,Tuesday,26,False
2015-06-24,2015,2,6,June,24,2,Wednesday,26,False
2015-06-25,2015,2,6,June,25,3,Thursday,26,False
2015-06-26,2015,2,6,June,26,4,Friday,26,False
2015-06-27,2015,2,6,June,27,5,Saturday,26,True
2015-06-28,2015,2,6,June,28,6,Sunday,26,True
2015-06-29,2015,2,6,June,29,0,Monday,27,False
2015-06-30,2015,2,6,June,30,1,Tuesday,27,False
2015-07-01,2015,3,7,July,1,2,Wednesday,27,False
2015-07-02,2015,3,7,July,2,3,Thursday,27,False
2015-07-03,2015,3,7,July,3,4,Friday,27,False
2015-07-04,2015,3,7,July,4,5,Saturday,27,True
2015-07-05,2015,3,7,July,5,6,Sunday,27,True
2015-07-06,2015,3,7,July,6,0,Monday,28,False
2015-07-07,2015,3,7,July,7,1,Tuesday,28,False
2015-07-08,2015,3,7,July,8,2,Wednesday,28,False
2015-07-09,2015,3,7,July,9,3,Thursday,28,False
2015-07-10,2015,3,7,July,10,4,Friday,28,False
2015-07-11,2015,3,7,July,11,5,Saturday,28,True
2015-07-12,2015,3,7,July,12,6,Sunday,28,True
2015-07-13,2015,3,7,July,13,0,Monday,29,False
2015-07-14,2015,3,7,July,14,1,Tuesday,29,False
2015-07-15,2015,3,7,July,15,2,Wednesday,29,False
2015-07-16,2015,3,7,July,16,3,Thursday,29,False
2015-07-17,2015,3,7,July,17,4,Friday,29,False
2015-07-18,2015,3,7,July,18,5,Saturday,29,True
2015-07-19,2015,3,7,July,19,6,Sunday,29,True
2015-07-20,2015,3,7,July,20,0,Monday,30,False
2015-07-21,2015,3,7,July,21,1,Tuesday,30,False
2015-07-22,2015,3,7,July,22,2,Wednesday,30,False
2015-07-23,2015,3,7,July,23,3,Thursday,30,False
2015-07-24,2015,3,7,July,24,4,Friday,30,False
2015-07-25,2015,3,7,July,25,5,Saturday,30,True
2015-07-26,2015,3,7,July,26,6,Sunday,30,True
2015-07-27,2015,3,7,July,27,0,Monday,31,False
